No,PLAYER,TEAM,AGE,GP,W,L, MIN ,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Joel Embiid,PHI,29,7,5,2, 35 ,40.3,13.3,24.6,54.1,1.3,3,42.9,12.4,14.3,87,2.6,7.3,9.9,4.4,2.6,1,1.3,2.6,63,5,0,-3
2,Luka Doncic,DAL,24,6,2,4, 39 ,39.7,13.5,26.3,51.3,3.8,10.2,37.7,8.8,11.8,74.6,1,9.2,10.2,8.8,3.7,1.7,0.7,2.2,68.5,3,2,-7.7
3,Devin Booker,PHX,27,10,7,3, 37 ,32.7,11.9,21.4,55.6,2.9,7.3,39.7,6,6.8,88.2,0.3,3.8,4.1,6.1,2.4,1.1,0.3,2.2,48.6,1,0,9
4,Kyrie Irving,DAL,31,8,4,4, 37 ,30.8,11,23.4,47.1,3.6,8.4,43.3,5.1,5.6,91.1,1.1,5.4,6.5,5.8,2.4,1.8,0.8,2,52.3,1,0,3.1
5,Giannis Antetokounmpo,MIL,29,9,6,3, 36 ,30.7,11.6,19.3,59.8,0.4,1.8,25,7.1,11.4,62.1,2.9,9.8,12.7,8,3.7,1.1,0.9,3.3,60.2,8,4,6.1
6,Shai Gilgeous-Alexander,OKC,25,10,8,2, 33 ,29.9,9.7,18.4,52.7,1,3.7,27,9.5,10.6,89.6,1,3.2,4.2,6.6,2.7,1.7,0.9,2.4,49.9,2,0,8.3
7,Jalen Brunson,NYK,27,8,7,1, 34 ,29.4,9.9,19.3,51.3,2.6,6.8,38.9,7,8,87.5,0.4,3.1,3.5,6.9,2.6,0.5,0.1,1.8,43.1,0,0,16.5
8,Nikola Jokic,DEN,28,10,6,4, 33 ,27.5,11.2,16,70,0.9,1.7,52.9,4.2,4.9,85.7,3,8.1,11.1,8.6,3.5,0.9,1.1,2.7,56.2,8,2,2.1
9,Donovan Mitchell,CLE,27,10,9,1, 33 ,27.3,9.6,20.6,46.6,3.3,9.4,35.1,4.8,6.1,78.7,0.8,4.3,5.1,7.2,3.4,1.9,0.4,1.8,47.7,2,0,15.6
10,Karl-Anthony Towns,MIN,28,10,7,3, 35 ,26.9,9.6,16.9,56.8,3.4,6.1,55.7,4.3,5.1,84.3,1,7.1,8.1,3.3,2.6,0.7,0.3,3.3,42,3,0,8
11,Kevin Durant,PHX,35,10,7,3, 37 ,26,10.1,18.5,54.6,2.6,6.3,41.3,3.2,3.7,86.5,0.8,6.1,6.9,4.7,2.2,0.8,1.5,2.2,46,2,0,3.5
12,Jayson Tatum,BOS,25,9,7,2, 34 ,25.2,7.9,18.4,42.8,2.3,6.9,33.9,7.1,8.7,82.1,0.6,6.8,7.3,3.9,1.1,0.9,0.4,1.9,42.7,2,0,5.7
12,Stephen Curry,GSW,35,9,4,5, 32 ,25.2,8.3,19.4,42.9,4,10.7,37.5,4.6,5,91.1,0.3,3.2,3.6,6.1,2.4,1.2,0.4,1.8,41.2,0,0,-0.7
14,Jaren Jackson Jr.,MEM,24,8,5,3, 32 ,25.1,9.3,21.8,42.5,1.9,7.5,25,4.8,6,79.2,1.4,4.6,6,3.5,2.6,1.8,0.9,2.9,42.8,1,0,0.4
15,Lauri Markkanen,UTA,26,10,7,3, 33 ,25.1,7.8,15.5,50.3,3.2,7.2,44.4,6.3,7,90,2.4,7.3,9.7,2.6,1.3,0.8,0.5,1.3,43.2,5,0,9.8
16,Damian Lillard,MIL,33,9,6,3, 35 ,24.9,7.4,19.1,39,2.6,8.8,29.1,7.4,8.1,91.8,0.2,3.6,3.8,6.4,1.8,1.2,0,0.9,41,1,0,4.7
17,Victor Wembanyama,SAS,20,8,4,4, 26 ,24.9,9.1,17.9,51,1.5,4.8,31.6,5.1,6,85.4,2.9,7.1,10,3.5,3.5,0.6,2.8,2.3,48.8,5,1,4.6
18,Tyrese Maxey,PHI,23,10,6,4, 39 ,24.8,8.4,20.2,41.6,2.7,8.3,32.5,5.3,6.3,84.1,0.7,2.6,3.3,7,1.8,1.9,0.6,2.2,45,0,0,2.3
19,Julius Randle,NYK,29,10,8,2, 35 ,24.7,8.9,18.5,48.1,2.3,6.4,35.9,4.6,5.7,80.7,2.5,6,8.5,6.2,3.6,0.4,0.3,2.5,42.7,2,1,12
19,Mikal Bridges,BKN,27,10,2,8, 38 ,24.7,8.5,18.8,45.2,3.1,8.6,36,4.6,5.5,83.6,0.4,4.4,4.8,3.8,2.2,1,0.6,1.8,38.8,0,0,-2.2
21,Paul George,LAC,33,10,8,2, 34 ,24.1,9,17.9,50.3,4.2,9.2,45.7,1.9,2.3,82.6,0.3,5,5.3,2.4,1.8,1.5,0.6,2.4,38.6,0,0,12.3
22,Jaylen Brown,BOS,27,9,6,3, 32 ,24,9.1,17,53.6,2.4,5.7,43.1,3.3,4.8,69.8,0.8,5.1,5.9,3.9,2.1,1.4,0.7,2.2,41.1,2,1,4.6
22,Marcus Smart,MEM,29,2,2,0, 29 ,24,9,18,50,4,10.5,38.1,2,3,66.7,0,5,5,4.5,3,2.5,0,1,41.3,0,0,13
24,D'Angelo Russell,LAL,27,10,6,4, 33 ,23.5,8.7,16.8,51.8,4.2,8.6,48.8,1.9,2.4,79.2,0.6,1.2,1.8,6.3,2.6,0.8,0.8,2.2,37.3,1,0,4.4
25,Alperen Sengun,HOU,21,10,3,7, 35 ,23.4,9.5,16.9,56.2,0.4,1.5,26.7,4,5.9,67.8,3.1,6.5,9.6,5.3,3.1,1.5,0.8,3.4,46.7,6,1,-5.3
25,Anthony Davis,LAL,30,10,6,4, 36 ,23.4,9,15.6,57.7,0.2,1.1,18.2,5.2,6.4,81.3,2.8,8.9,11.7,5,2,1.1,1.3,1.9,50.1,9,1,-1.6
27,Desmond Bane,MEM,25,3,2,1, 33 ,23.3,7.3,17.3,42.3,2.3,7.3,31.8,6.3,7,90.5,1.3,3.7,5,4,1.7,0.7,0.3,3,36.7,0,0,-1
28,Collin Sexton,UTA,25,10,7,3, 25 ,23.2,8.3,15,55.3,2.3,4.5,51.1,4.3,4.9,87.8,0.9,1.5,2.4,5.7,1.7,0.8,0.2,2.3,35.9,1,0,6.9
28,Dejounte Murray,ATL,27,10,4,6, 35 ,23.2,8.8,18.5,47.6,2.7,6.7,40.3,2.9,3.2,90.6,0.5,6.1,6.6,5.3,2.6,1,0.2,1.9,40.1,3,0,-7.9
30,Jamal Murray,DEN,26,10,6,4, 35 ,23,9.1,19,47.9,1.9,5.8,32.8,2.9,3.4,85.3,0.7,3.5,4.2,7.2,2.5,0.4,0.4,2.3,38.7,1,0,-2.8
30,LeBron James,LAL,39,8,6,2, 34 ,23,8.9,17.9,49.7,1.9,4.8,39.5,3.4,4.5,75,0.9,5.8,6.6,8,3.9,0.8,0.1,1.3,41.7,3,0,3.9
30,Trae Young,ATL,25,7,3,4, 35 ,23,6.9,18,38.1,2.6,7.4,34.6,6.7,7.6,88.7,0.7,1.7,2.4,9.7,4,1.3,0.4,2.3,41.6,5,0,-4
33,Coby White,CHI,23,10,6,4, 39 ,22.8,8.1,15.4,52.6,2.7,6.3,42.9,3.9,4.8,81.3,0.9,5.1,6,5.4,2.6,0.5,0.4,1.9,38.2,2,0,6.2
34,RJ Barrett,TOR,23,10,2,8, 35 ,22.6,9,15.9,56.6,1.3,3.9,33.3,3.3,5.5,60,1,6.2,7.2,3.9,1.5,0.7,0.4,2.8,38.9,1,0,-1.9
35,De'Aaron Fox,SAC,26,10,5,5, 35 ,22.3,8,18,44.4,2.5,6.3,39.7,3.8,5,76,0.5,2.2,2.7,4.2,2.2,1.4,0.3,2.3,34.7,0,0,-2.8
35,Paolo Banchero,ORL,21,10,3,7, 35 ,22.3,8.2,20,41,1.3,4.8,27.1,4.6,6.9,66.7,0.8,5.7,6.5,4.8,2.5,1,0.7,2.1,39.9,2,0,-4.8
37,LaMelo Ball,CHA,22,7,2,5, 30 ,22.3,7.3,17.9,40.8,2.6,9,28.6,5.1,5.9,87.8,0.9,3.6,4.4,7.6,3.4,2.7,0,3.9,43.7,2,0,-6.6
38,Anthony Edwards,MIN,22,10,7,3, 35 ,22.2,7.6,17.2,44.2,1.7,5.4,31.5,5.3,6.3,84.1,0.3,4.3,4.6,5.5,3.4,0.6,0.1,2.2,34.7,0,0,6.6
39,Miles Bridges,CHA,25,10,2,8, 37 ,21.8,8.2,18.1,45.3,2.8,6.9,40.6,2.6,2.8,92.9,0.7,6.7,7.4,2.8,2.6,0.8,0.4,1.5,35.9,2,0,-10.4
40,Pascal Siakam,IND,29,9,3,6, 32 ,21.6,8.3,15.1,55.1,1.7,3.4,48.4,3.2,4.7,69,1.6,5,6.6,4.8,1.4,0.4,0.3,2.2,37.5,2,1,1.7
41,DeMar DeRozan,CHI,34,10,6,4, 39 ,21.4,7.8,16.4,47.6,1.1,3.4,32.4,4.7,5.4,87,0.4,4.3,4.7,5.6,1.8,1.3,0.3,2.2,38.4,1,0,2.8
42,Domantas Sabonis,SAC,27,10,5,5, 36 ,21.1,8.8,12.7,69.3,0.7,1.1,63.6,2.8,3.6,77.8,2.3,9.9,12.2,9.7,3.5,0.7,0.5,3.5,50.4,10,5,0.4
43,Tyrese Haliburton,IND,23,1,0,1, 35 ,21,6,14,42.9,2,7,28.6,7,9,77.8,0,2,2,17,0,0,0,1,48.9,1,0,16
44,Anfernee Simons,POR,24,9,2,7, 33 ,20.9,7.1,16.6,43,3.4,8.4,40.8,3.2,3.8,85.3,0.3,3.1,3.4,4.4,3.1,0.1,0.2,2.3,29.6,1,0,-14
45,Zion Williamson,NOP,23,7,3,4, 29 ,20.7,8.6,14.3,60,0.1,0.1,100,3.4,5.6,61.5,1.3,2.9,4.1,5.3,2.1,0.9,0.4,1.9,35.3,1,0,-0.9
46,Kawhi Leonard,LAC,32,10,8,2, 34 ,20.6,8,15.4,51.9,1.8,3.8,47.4,2.8,3.2,87.5,0.9,5.8,6.7,4.4,1.8,1.7,1.3,1.8,42.4,1,1,7.4
47,Tyler Herro,MIA,24,9,3,6, 34 ,20.6,7.9,17.8,44.4,3.4,8.9,38.8,1.3,1.8,75,0.7,4.8,5.4,3.4,2.3,0.8,0,1.7,32.3,1,0,-2.1
48,Jordan Clarkson,UTA,31,10,7,3, 31 ,20.4,7.4,16.3,45.4,1.9,5.7,33.3,3.7,4,92.5,0.7,3,3.7,5,2.3,0.3,0.2,0.8,31.5,1,0,2.7
49,Jalen Williams,OKC,22,10,8,2, 32 ,20,8.3,15.1,55,1.4,3.3,42.4,2,2.5,80,1.1,3.8,4.9,5.8,1.2,1.3,0.6,2.6,39.1,1,0,13.6
50,Jonathan Kuminga,GSW,21,10,4,6, 28 ,19.9,7.6,12.7,59.8,1.1,2.9,37.9,3.6,4.4,81.8,0.7,4.7,5.4,2.5,1.6,0.7,0.7,1.8,32.7,1,0,2
50,Tim Hardaway Jr.,DAL,31,10,5,5, 33 ,19.9,6.6,15.1,43.7,3.6,8.7,41.4,3.1,3.5,88.6,0.5,3.1,3.6,2,1.6,0.7,0.1,2,28,0,0,-2.5
52,Bojan Bogdanovic,DET,34,8,1,7, 31 ,19.9,7.4,15.1,48.8,3,6.5,46.2,2.1,2.9,73.9,0.4,2.6,3,2.3,1.9,1.1,0.3,1.9,29.1,0,0,-11.5
53,Jimmy Butler,MIA,34,6,1,5, 33 ,19.8,6.3,10.7,59.4,1,1.7,60,6.2,7,88.1,2,2.3,4.3,4,1.8,1.7,0,1.2,34.2,0,0,-6.7
54,Bam Adebayo,MIA,26,10,4,6, 36 ,19.6,7.4,15.1,49,0,0.4,0,4.8,6.2,77.4,2.5,8.4,10.9,5.2,2.2,0.8,1.2,2.6,44.3,7,0,-3
54,Klay Thompson,GSW,33,10,4,6, 31 ,19.6,6.9,15.6,44.2,3.9,9.4,41.5,1.9,2,95,0.7,1.8,2.5,3,1.4,0.4,0.8,2,29.3,0,0,-3.4
54,Kyle Kuzma,WAS,28,10,1,9, 33 ,19.6,7.7,17.9,43,1.7,6.2,27.4,2.5,2.8,89.3,1.5,7.1,8.6,5.1,2.9,0.8,0.8,1.7,39.5,4,0,-6.9
57,Tobias Harris,PHI,31,8,6,2, 35 ,19.4,6.8,13.6,49.5,1.4,3.6,37.9,4.5,4.8,94.7,1,4.1,5.1,4,0.9,0.9,0.5,1.8,34.8,1,0,9.5
58,Terry Rozier,MIA,29,10,2,8, 33 ,19.1,6.6,15.3,43.1,2.7,7.7,35.1,3.2,3.9,82.1,0.6,3.3,3.9,4.9,1.6,0.9,0.3,1.5,33.1,0,0,-16.5
59,CJ McCollum,NOP,32,9,4,5, 30 ,19,6.8,14.3,47.3,3.9,8.6,45.5,1.6,2,77.8,0.7,4.6,5.2,4.6,1.6,0.9,0.9,2.2,35.9,0,0,4.2
59,Jalen Green,HOU,21,10,3,7, 31 ,19,6.9,16.8,41.1,1.3,6.7,19.4,3.9,4.8,81.3,0.4,4.3,4.7,3.8,2.2,0.9,0.2,1.3,31.4,0,0,-4.8
61,Jerami Grant,POR,29,9,3,6, 31 ,18.9,7,15.3,45.7,1.4,4,36.1,3.4,4.4,77.5,0.7,2.7,3.3,2.4,0.9,0.7,0.8,1.6,30,0,0,-10.3
62,Bradley Beal,PHX,30,10,7,3, 36 ,18.8,7.8,14.8,52.7,1.9,4.4,43.2,1.3,2,65,1.1,3.7,4.8,4.4,2.2,1,0.2,3.3,32.6,0,0,4.3
63,Kristaps Porzingis,BOS,28,7,4,3, 30 ,18.4,5.7,11.4,50,2.4,5.1,47.2,4.6,5.3,86.5,1.7,3.7,5.4,3.1,1.9,0.4,2.1,3,35.5,0,0,6.4
64,Alec Burks,DET,32,10,2,8, 24 ,18.4,5.8,13.1,44.3,3.8,8.2,46.3,3,3.3,90.9,0.3,2.2,2.5,2,1,0.4,0.3,1.7,25.5,0,0,-1.1
64,Jaden Ivey,DET,21,10,2,8, 30 ,18.4,6.8,15.5,43.9,1.7,6.1,27.9,3.1,4.8,64.6,1.7,2.7,4.4,5.4,3.1,0.7,0.8,2.6,33.2,0,0,-6.8
66,Cam Thomas,BKN,22,10,2,8, 26 ,18.1,6.2,13.9,44.6,1.5,4.8,31.3,4.2,4.9,85.7,0,2.5,2.5,2.9,1.7,0.5,0.2,1.3,25.9,0,0,-0.3
67,Franz Wagner,ORL,22,3,1,2, 30 ,18,6,13,46.2,2.7,6,44.4,3.3,3.7,90.9,1,2.3,3.3,3.7,2.7,0.3,0.3,1.7,26.8,0,0,-1
68,Nikola Vucevic,CHI,33,10,6,4, 33 ,17.9,8.3,15.2,54.6,1.1,4.4,25,0.2,0.3,66.7,2.6,8.9,11.5,3.9,1.3,0.3,0.7,2.5,39.3,7,0,4.3
69,Wendell Carter Jr.,ORL,24,6,2,4, 28 ,17.8,6.8,10,68.3,1.5,2.8,52.9,2.7,3.3,80,2.7,5,7.7,1.2,1,1.2,0.7,2,33.3,1,0,1.7
70,Scottie Barnes,TOR,22,10,2,8, 35 ,17.8,6.9,14.9,46.3,1.1,4.5,24.4,2.9,4.3,67.4,1.6,4.7,6.3,5.3,3.3,0.9,2,2.1,38.7,2,0,-5.2
71,Fred VanVleet,HOU,29,9,3,6, 37 ,17.7,6.3,14.6,43.5,3.1,9,34.6,1.9,2.2,85,0.7,3.1,3.8,7.8,1,1,2.4,3.2,43.2,3,0,-2
72,Jarrett Allen,CLE,25,10,9,1, 32 ,17.4,7,11.6,60.3,0,0,0,3.4,3.9,87.2,4.7,8.7,13.4,3.4,2.1,1.1,1.7,1.9,44.9,10,0,13.2
72,Keegan Murray,SAC,23,10,5,5, 33 ,17.4,6.8,13.2,51.5,2.4,5.9,40.7,1.4,2,70,1.3,4.5,5.8,1.5,0.8,1,1,2,31.8,1,0,1.8
74,Jaime Jaquez Jr.,MIA,22,4,3,1, 31 ,17.3,6.5,11.8,55.3,1,2.3,44.4,3.3,4.3,76.5,1.3,4,5.3,2.8,2,0.8,0,2.3,27.9,0,0,1.5
75,Malcolm Brogdon,POR,31,7,3,4, 31 ,16.7,5.6,12.9,43.3,2,4.3,46.7,3.6,3.9,92.6,0.4,3.3,3.7,5.3,1.9,0.3,0.4,2.1,29.4,0,0,-7.1
76,Jordan Poole,WAS,24,10,1,9, 30 ,16.7,6,14.2,42.3,1.8,6,30,2.9,3.4,85.3,0.1,1.7,1.8,2.9,1.3,1.1,0.4,3.2,26.4,0,0,-3.4
77,James Harden,LAC,34,10,8,2, 35 ,16.6,5.1,11.8,43.2,2.6,6.8,38.2,3.8,4.2,90.5,0.3,4,4.3,10.1,2.6,0.9,0.6,2.3,38.8,5,1,12.1
78,Cade Cunningham,DET,22,2,0,2, 23 ,16.5,7,14,50,1,4.5,22.2,1.5,1.5,100,0,4,4,3,1,0,0.5,2,26.3,0,0,-4.5
79,Jalen Johnson,ATL,22,10,4,6, 36 ,16.4,6.4,12.9,49.6,1.4,3.8,36.8,2.2,3.4,64.7,0.8,7,7.8,3.8,2,1.7,0.9,2.9,37.3,2,0,-5.1
80,Marvin Bagley III,WAS,24,6,0,6, 25 ,16.2,6.3,10.5,60.3,0.2,0.5,33.3,3.3,5.7,58.8,4.3,4.3,8.7,1.2,1.2,0.8,0.5,3,31.2,3,0,-5.7
81,Khris Middleton,MIL,32,9,5,4, 30 ,16.1,5.6,12.7,43.9,1.7,5.1,32.6,3.3,4,83.3,0.6,3.1,3.7,5.7,1.9,1.3,0.6,2.8,32.8,1,0,-0.6
81,Rudy Gobert,MIN,31,9,7,2, 35 ,16.1,5.8,8.8,65.8,0,0.1,0,4.6,6.7,68.3,3.4,11.1,14.6,1.3,1.2,0.2,2.4,3.3,42.4,8,0,8.3
83,OG Anunoby,NYK,26,10,8,2, 36 ,16.1,5.8,11.1,52.3,1.8,4.6,39.1,2.7,3.1,87.1,0.9,3.9,4.8,1.4,1.6,1.8,1.5,2.1,32.3,0,0,16.5
84,Myles Turner,IND,27,10,5,5, 27 ,16,5.9,11.9,49.6,1.3,4.3,30.2,2.9,3.7,78.4,1.6,4.6,6.2,1.5,1.8,0.6,1.5,3.2,30.2,2,0,-1.5
85,Deni Avdija,WAS,23,10,1,9, 30 ,15.8,5.4,10.1,53.5,1.3,2.7,48.1,3.7,4.5,82.2,0.6,6.4,7,4.3,2.5,0.7,0.5,3.3,31.8,2,0,-4.3
86,Zach LaVine,CHI,28,7,5,2, 34 ,15.6,5.4,11.1,48.7,2.3,5.9,39,2.4,3,81,0.3,5.6,5.9,5.3,2.3,0.6,0.6,2.9,31.7,1,0,0.9
87,Immanuel Quickley,TOR,24,9,2,7, 32 ,15.6,5.3,12.8,41.7,2.3,5.2,44.7,2.6,3,85.2,0.4,4.1,4.6,6.3,1.4,0.8,0.1,1.8,31.7,1,0,-8.8
88,Jalen Duren,DET,20,10,2,8, 29 ,15.5,7.1,11.3,62.8,0,0,0,1.3,2,65,2.2,8.4,10.6,2.5,1.6,0.3,0.5,3.3,32.8,6,0,-7.1
89,Devin Vassell,SAS,23,10,4,6, 32 ,15.4,5.5,12.9,42.6,1.6,5.7,28.1,2.8,3.6,77.8,0.2,3.7,3.9,4.9,1.4,0.8,0.2,1,29,0,0,1
90,Brandon Miller,CHA,21,8,2,6, 28 ,15.3,5.5,11.9,46.3,2.4,6,39.6,1.9,2.4,78.9,1,3.5,4.5,2.5,1.3,0.6,0.3,2.4,25.8,0,0,-4.3
91,Michael Porter Jr.,DEN,25,10,6,4, 31 ,15.2,5.8,11,52.7,2.4,5.4,44.4,1.2,1.5,80,0.9,4.5,5.4,1.1,1.1,0.7,0.6,1.9,26.1,1,0,2.9
92,Brandon Ingram,NOP,26,9,4,5, 31 ,15.1,5.2,12.8,40.9,1.1,3.3,33.3,3.6,4.7,76.2,0.3,4.7,5,6.7,2,0.7,0.3,2.2,32.1,2,1,1.2
93,John Collins,UTA,26,10,7,3, 25 ,15,6.1,10.2,59.8,0.9,3.2,28.1,1.9,2.1,90.5,1.7,5.8,7.5,1.6,1.2,0.6,0.6,2.9,28.8,2,0,6.1
93,Jrue Holiday,BOS,33,9,6,3, 32 ,15,5.7,11.8,48.1,2.8,6.2,44.6,0.9,0.9,100,0.8,4.2,5,4.4,1.6,0.4,0.6,1.4,29.1,0,0,3.7
93,Vince Williams Jr.,MEM,23,10,6,4, 34 ,15,4.7,9.6,49,2.6,5.6,46.4,3,3.7,81.1,1.9,4.6,6.5,3.6,1.9,1.5,0.8,2.6,33.2,1,0,1.7
96,Chet Holmgren,OKC,21,10,8,2, 31 ,14.9,6.1,12,50.8,1.1,3.9,28.2,1.6,2.6,61.5,1.2,6.4,7.6,3.1,1.5,0.6,2.6,2.7,36.8,1,0,7.4
97,Jabari Smith Jr.,HOU,20,7,2,5, 36 ,14.9,5.7,12.9,44.4,1.6,4.6,34.4,1.9,2.4,76.5,2.6,6.1,8.7,1.1,1.1,0.6,0.6,2.1,29.3,3,0,-7.4
98,Isaiah Stewart,DET,22,5,2,3, 31 ,14.8,5.2,11.2,46.4,1.8,5.4,33.3,2.6,3.6,72.2,1.4,5.2,6.6,2.2,2.2,1,2,2,32.8,0,0,3
98,Ivica Zubac,LAC,26,5,4,1, 28 ,14.8,6.2,8.4,73.8,0,0,0,2.4,3.2,75,4.2,7.2,11.4,1.8,1,0.2,1.4,3,35,2,0,8
98,Jeremy Sochan,SAS,20,10,4,6, 31 ,14.8,5.7,12.2,46.7,1.6,3.8,42.1,1.8,2.1,85.7,2.4,4.7,7.1,3.7,1.6,1.1,0.8,2.1,33,1,0,3.4
101,Nic Claxton,BKN,24,10,2,8, 35 ,14.7,6.6,9.5,69.5,0,0.1,0,1.5,2.9,51.7,3.4,8.7,12.1,1.8,1.8,1.4,1.6,2.9,39.1,7,0,-1.8
102,Caris LeVert,CLE,29,8,7,1, 27 ,14.6,5,12,41.7,2.1,5.3,40.5,2.5,3.5,71.4,0.6,3.4,4,5,1.9,1.1,0.5,1.9,29.9,1,0,5.3
103,Bogdan Bogdanovic,ATL,31,10,4,6, 28 ,14.6,5.2,12.9,40.3,2.3,7,32.9,1.9,2.1,90.5,0.7,2,2.7,2.4,1.4,1.4,0.1,1.7,24.5,0,0,-6
104,Keldon Johnson,SAS,24,10,4,6, 25 ,14.3,5,11.3,44.2,1.2,4,30,3.1,3.7,83.8,1.4,3.2,4.6,1.7,1.5,0.7,0.5,2.1,24.5,1,0,-2.2
104,Malik Monk,SAC,25,10,5,5, 27 ,14.3,5.1,12.7,40.2,1.6,5.8,27.6,2.5,3.6,69.4,0.3,2.2,2.5,6.1,1.9,0.7,0.9,2.3,29.4,0,0,-1.7
104,Norman Powell,LAC,30,10,8,2, 25 ,14.3,5,10.6,47.2,2.3,5.4,42.6,2,2.4,83.3,0.1,3,3.1,0.7,0.6,0.5,0.4,1.4,21.2,0,0,9.8
